Topics/Top10,NaturalDisaster,Epidemics,IranDeal,SocialIssues,LBGT,HumanCausedDisaster,CelebrityDeath,Space,Tennis,Soccer
From,earthquake_wo,changedecopine,mazandara,nsingerdebtpaid,eph4_15,ydumozyf,nmandelaquotes,daily_astrodata,tracktennisnews,losangelessrh
From,earthalerts,drdaveanddee,hhadi119,debtadvisoruk,mgdauber,syriatweeten,boiknox,freesolarleads,tennis_result,shoetale
From,seelites,joinmentornetwk,140iran,debt_protect,stevendickinson,tintin1957,jacanews,houston__jobs,i_roger_federer,sport__agent
From,globalfloodnews,followebola,setarehgan,negativeequityf,lileensvf1,sirajsol,ewnreporter,star_wars_gifts,tennislessonnow,books_you_want
From,gcmcdrought,localnursejobs,akhgarshabaneh,dolphin_ls,truckerbooman,rt3syria,paulretweet,lenautilus,kamranisbest,makeupbella
,,,,,,,,,,
Hashtag,earthquake,health,iran,ferguson,tcot,syria,rip,science,wimbledon,lfc
Hashtag,haiyan,uniteblue,irantalks,mikebrown,p2,gaza,riprobinwilliams,starwars,usopen,worldcup
Hashtag,storm,ebola,rouhani,ericgarner,pjnet,isis,ripcorymonteith,houston,tennis,arsenal
Hashtag,tornado,healthcare,iranian,blacklivesmatter,uniteblue,israel,mandela,sun,nadal,worldcup2014
Hashtag,prayforthephilippines,depression,no2rouhani,fergusondecision,teaparty,mh370,nelsonmandela,sxsw,wimbledon2014,halamadrid
,,,,,,,,,,
Location,philippines,usa,tehran,st.louis,usa,malaysia,southafrica,germany,london,liverpool
Location,ca,ncusa,u.s.a,mo,bordentown,palestine,johannesburg,roodepoort,uk,manchester
Location,india,garlandtx,nederland,usa,newjersey,syria,capetown,houston,india,london
Location,newdelhi,oh-sandiego,iran,dc,sweethomealabama!,israel,pretoria,austin,pakistan,nigeria
Location,newzealand,washington,globalcitizen,washington,aurora,london,durban,tx,islamabad,india
,,,,,,,,,,
Mention,oxfamgb,foxtramedia,4freedominiran,deray,jjauthor,ifalasteen,nelsonmandela,bizarro_chile,wimbledon,lfc
Mention,weatherchannel,obi_obadike,iran_policy,natedrug,2anow,revolutionsyria,realpaulwalker,nasa,usopen,arsenal
Mention,redcross,who,hassanrouhani,antoniofrench,govchristie,drbasselabuward,robinwilliams,j_ksen,andy_murray,realmadriden
Mention,twcbreaking,obadike1,un,bipartisanism,a5h0ka,mogaza,rememberrobin,jaredleto,serenawilliams,ussoccer
Mention,abc7,c25kfree,statedept,theanonmessage,barackobama,palestinianism,tweetlikegiris,30secondstomars,espntennis,mcfc
,,,,,,,,,,
Term,philippines,health,iran,police,obama,israel,robin,cnblue,murray,madrid
Term,donate,ebola,regime,protesters,gun,gaza,williams,movistar,tennis,goal
Term,typhoon,acrx,nuclear,officer,rights,israeli,nelson,enero,federer,cup
Term,affected,medical,iranian,protest,america,killed,mandela,΍imperdible,djokovic,manchester
Term,relief,virus,resistance,cops,gop,children,cory,greet,nadal,match